Theme,Topic,Part of speech,Headword Spanish,English equivelant,
People and lifestyle,Identity and relationships,n (f),presin,pressure,
People and lifestyle,Identity and relationships,n (f),ta,aunt,
People and lifestyle,Identity and relationships,n (f),religin,religion,
People and lifestyle,Identity and relationships,n (f),confianza,"confidence, trust",
People and lifestyle,Identity and relationships,n (f),amistad,friendship,
People and lifestyle,Identity and relationships,n (f),personalidad,"personality, celebrity",
People and lifestyle,Identity and relationships,n (f),discusin,"discussion, argument",
People and lifestyle,Identity and relationships,n (f),identidad,identity,
People and lifestyle,Identity and relationships,n (f),tarjeta,"written card, bank card",
People and lifestyle,Identity and relationships,n (f),novia,"girlfriend, bride",
People and lifestyle,Identity and relationships,n (f),boda,wedding,
People and lifestyle,Identity and relationships,n (f),hermana,sister,
People and lifestyle,Identity and relationships,n (f),madrastra,stepmother,
People and lifestyle,Identity and relationships,n (m),animal,animal,
People and lifestyle,Identity and relationships,n (m),nombre,name,
People and lifestyle,Identity and relationships,n (m),hombre,man,
People and lifestyle,Identity and relationships,n (m),hijo,"son, child (m)",
People and lifestyle,Identity and relationships,n (m),padre; padres,father; parents ,
People and lifestyle,Identity and relationships,n (m),ojo,eye,
People and lifestyle,Identity and relationships,n (m),nio,"child, little boy",
People and lifestyle,Identity and relationships,n (m),amigo,friend,
People and lifestyle,Identity and relationships,n (m),amor,love,
People and lifestyle,Identity and relationships,n (m),hermano,brother,
People and lifestyle,Identity and relationships,n (m),papel,"paper, role, part",
People and lifestyle,Identity and relationships,n (m),miembro,member,
People and lifestyle,Identity and relationships,n (m),extranjero,"abroad, foreigner (m)",
People and lifestyle,Identity and relationships,n (m),recuerdo,"memory, souvenir",
People and lifestyle,Identity and relationships,n (m),carcter,"personality, character",
People and lifestyle,Identity and relationships,n (m),contacto,contact,
People and lifestyle,Identity and relationships,n (m),apoyo,"support, backing",
People and lifestyle,Identity and relationships,n (m),telfono,"phone, telephone",
People and lifestyle,Identity and relationships,n (m),pelo,hair,
People and lifestyle,Identity and relationships,n (m),perro,dog,
People and lifestyle,Identity and relationships,n (m),caballo,horse,
People and lifestyle,Identity and relationships,n (m),consejo,(piece of) advice,
People and lifestyle,Identity and relationships,n (m),sentimiento,"feeling, sentiment",
People and lifestyle,Identity and relationships,n (m),marido,husband,
People and lifestyle,Identity and relationships,n (m),to,uncle,
People and lifestyle,Identity and relationships,n (m),famoso,"celebrity, famous person",
People and lifestyle,Identity and relationships,n (m),respeto,"respect, regard",
People and lifestyle,Identity and relationships,n (m),matrimonio,marriage,
People and lifestyle,Identity and relationships,n (m),novio,"boyfriend, groom",
People and lifestyle,Identity and relationships,n (m),primo,cousin,
People and lifestyle,Identity and relationships,n (m),sexo,sex,
People and lifestyle,Identity and relationships,n (m),comportamiento,behaviour,
People and lifestyle,Identity and relationships,n (m),gato,cat,
People and lifestyle,Identity and relationships,n (m),cuidado,"care, carefulness",
People and lifestyle,Identity and relationships,n (m),humor,"humour, mood",
People and lifestyle,Identity and relationships,n (m),regalo,"present, gift",
People and lifestyle,Identity and relationships,n (m),beb,baby,
People and lifestyle,Identity and relationships,n (m),apellido,surname,
People and lifestyle,Identity and relationships,n (m),cumpleaos,birthday,
People and lifestyle,Identity and relationships,n (m),abuelo,grandfather,
People and lifestyle,Identity and relationships,n (m),padrastro,stepfather,
People and lifestyle,Identity and relationships,n (m),tatuaje,tattoo,
People and lifestyle,Identity and relationships,v,pasar,"(to) pass, spend (time), happen I  passing, spending (time), happening",
People and lifestyle,Identity and relationships,v,parecer; parecerse a,(to) seem I seeming; (to) look like | looking like ,
People and lifestyle,Identity and relationships,v,llamar; llamarse,"(to) call, name | calling, naming; (to) be called | being called ",
People and lifestyle,Identity and relationships,v,conocer,"(to) know (person, place), meet (for the first time) | knowing (person, place), meeting (for the first time)",
People and lifestyle,Identity and relationships,v,morir,(to) die | dying,
People and lifestyle,Identity and relationships,v,permitir; permitirse,"(to) allow, permit | allowing, permitting; (to) afford | affording ",
People and lifestyle,Identity and relationships,v,entender; entenderse,(to) understand | understanding; (to) get on | getting on,
People and lifestyle,Identity and relationships,v,nacer,(to) be born | being born,
People and lifestyle,Identity and relationships,v,casarse,(to) get married| getting married,
People and lifestyle,Identity and relationships,v,apoyar,(to) support | supporting,
People and lifestyle,Identity and relationships,v,gritar,(to) shout | shouting,
People and lifestyle,Identity and relationships,v,romper,(to) break | breaking,
People and lifestyle,Identity and relationships,v,cuidar,(to) take care of | taking care of,
People and lifestyle,Identity and relationships,v,separar; separarse,(to) separate I separating; (to) separate (of a couple) | separating (of a couple),
People and lifestyle,Identity and relationships,v,celebrar; celebrarse,(to) celebrate | celebrating; (to) hold (an event) | holding (an event),
People and lifestyle,Identity and relationships,v,proteger,(to) protect | protecting,
People and lifestyle,Identity and relationships,v,respetar,(to) respect I respecting,
People and lifestyle,Identity and relationships,v,comunicar,(to) communicate  I  communicating,
People and lifestyle,Identity and relationships,v,discutir,"(to) argue, discuss I arguing, discussing",
People and lifestyle,Identity and relationships,v,besar,(to) kiss I kissing,
People and lifestyle,Identity and relationships,v,criticar,(to) criticise | criticising ,
People and lifestyle,Identity and relationships,v,pelearse,(to) fight (physically) I fighting (physically),
People and lifestyle,Identity and relationships,v,divorciarse,(to) get divorced | getting divorced,
People and lifestyle,Identity and relationships,n (m/f),compaero,"classmate, group member, colleague, companion ",
People and lifestyle,Identity and relationships,n (m/f),estudiante,student,
People and lifestyle,Identity and relationships,n (m/f),vecino,neighbour,
People and lifestyle,Identity and relationships,n (m/f),paciente,patient,
Popular culture,Celebrity culture,adj,nico,"only (m) (pre-noun), unique (post-noun)",
Popular culture,Celebrity culture,adj,pblico,"public, audience",
Popular culture,Celebrity culture,adj,rico,"rich, wealthy, tasty ",
Popular culture,Celebrity culture,adj,joven,young,
Popular culture,Celebrity culture,adj,especial,special,
Popular culture,Celebrity culture,adj,ingls,English,
Popular culture,Celebrity culture,adj,cultural,cultural,
Popular culture,Celebrity culture,adj,conocido,"known, well-known",
Popular culture,Celebrity culture,adj,popular,popular,
Popular culture,Celebrity culture,adj,famoso,"famous, well-known",
Popular culture,Celebrity culture,adj,muerto,dead,
Popular culture,Celebrity culture,adj,musical,musical,
Popular culture,Celebrity culture,adj,artstico,artistic,
Popular culture,Celebrity culture,adj,peligroso,dangerous,
Popular culture,Celebrity culture,adj,casado,married,
Popular culture,Celebrity culture,adj,gracioso,funny,
Popular culture,Celebrity culture,adj,guapo,good-looking,
Popular culture,Celebrity culture,adj,soltero,"single, unmarried",
Popular culture,Celebrity culture,adj,online,online,
Popular culture,Celebrity culture,mwp,medios de comunicacin,media,
Popular culture,Celebrity culture,mwp,pasarlo bien/mal,to have a good/bad time,
Popular culture,Celebrity culture,n (f),familia,family,
Popular culture,Celebrity culture,n (f),voz,voice,
Popular culture,Celebrity culture,n (f),relacin,relationship,
Popular culture,Celebrity culture,n (f),msica,music,
Popular culture,Celebrity culture,n (f),sociedad,society,
Popular culture,Celebrity culture,n (f),imagen,"image, picture",
Popular culture,Celebrity culture,n (f),serie,series,
Popular culture,Celebrity culture,n (f),cultura,culture,
Popular culture,Celebrity culture,n (f),carrera,"career, (university) degree course, race",
Popular culture,Celebrity culture,n (f),pelcula,"film, movie",
Popular culture,Celebrity culture,n (f),novela,novel,
Popular culture,Celebrity culture,n (f),red (Red),"network (Internet), net (fishing)",
Popular culture,Celebrity culture,n (f),fiesta,"party, festival",
Popular culture,Celebrity culture,n (f),"tele, televisin","TV, television",
Popular culture,Celebrity culture,n (f),foto,"photo, picture",
Popular culture,Celebrity culture,n (f),pareja,"couple, partner",
Popular culture,Celebrity culture,n (f),revista,magazine,
Popular culture,Celebrity culture,n (f),estrella,star,
Popular culture,Celebrity culture,n (f),letra,"letter, lyrics",
Popular culture,Celebrity culture,n (f),cancin,song,
Popular culture,Celebrity culture,n (f),industria,industry,
Popular culture,Celebrity culture,n (f),marca,"make, brand",
Popular culture,Celebrity culture,n (f),moda; de moda,"fashion; in fashion, fashionable",
Popular culture,Celebrity culture,n (f),personalidad,"personality, celebrity",
Popular culture,Celebrity culture,n (f),entrevista,interview,
Popular culture,Celebrity culture,n (f),droga,drug,
Popular culture,Celebrity culture,n (f),identidad,identity,
Popular culture,Celebrity culture,n (f),guitarra,guitar,
Popular culture,Celebrity culture,n (f),actriz,"actor (f), actress",
Popular culture,Celebrity culture,n (f),telerrealidad,reality TV,
Popular culture,Celebrity culture,n (m),club,club,
Popular culture,Celebrity culture,n (m),Internet,internet,
Popular culture,Celebrity culture,n (m),nombre,name,
Popular culture,Celebrity culture,n (m),pas,country,
Popular culture,Celebrity culture,n (m),mundo,world,
Popular culture,Celebrity culture,n (m),hijo,"son, child (m)",
Popular culture,Celebrity culture,n (m),padre; padres,father; parents ,
Popular culture,Celebrity culture,n (m),nio,"child, little boy",
Popular culture,Celebrity culture,n (m),grupo,group,
Popular culture,Celebrity culture,n (m),arte,art,
Popular culture,Celebrity culture,n (m),libro,book,
Popular culture,Celebrity culture,n (m),amor,love,
Popular culture,Celebrity culture,n (m),hermano,brother,
Popular culture,Celebrity culture,n (m),programa,programme,
Popular culture,Celebrity culture,n (m),juego,game,
Popular culture,Celebrity culture,n (m),dinero,money,
Popular culture,Celebrity culture,n (m),equipo,"team, equipment",
Popular culture,Celebrity culture,n (m),proyecto,"project, plan",
Popular culture,Celebrity culture,n (m),papel,"paper, role, part",
Popular culture,Celebrity culture,n (m),sueo,"dream, sleep",
Popular culture,Celebrity culture,n (m),autor,"writer, author",
Popular culture,Celebrity culture,n (m),miembro,member,
Popular culture,Celebrity culture,n (m),personaje,"character (in book, film)",
Popular culture,Celebrity culture,n (m),teatro,"theatre, drama",
Popular culture,Celebrity culture,n (m),xito,success,
Popular culture,Celebrity culture,n (m),carcter,"personality, character",
Popular culture,Celebrity culture,n (m),cine,cinema,
Popular culture,Celebrity culture,n (m),marido,husband,
Popular culture,Celebrity culture,n (m),famoso,"celebrity, famous person",
Popular culture,Celebrity culture,n (m),peridico,newspaper,
Popular culture,Celebrity culture,n (m),instrumento,instrument,
Popular culture,Celebrity culture,n (m),premio,"prize, reward, award",
Popular culture,Celebrity culture,n (m),respeto,"respect, regard",
Popular culture,Celebrity culture,n (m),matrimonio,marriage,
Popular culture,Celebrity culture,n (m),peligro,danger,
Popular culture,Celebrity culture,n (m),vdeo,video,
Popular culture,Celebrity culture,n (m),novio,"boyfriend, groom",
Popular culture,Celebrity culture,n (m),concierto,concert,
Popular culture,Celebrity culture,n (m),actor,actor (m),
Popular culture,Celebrity culture,n (m),comportamiento,behaviour,
Popular culture,Celebrity culture,n (m),espectculo,"show, spectacle",
Popular culture,Celebrity culture,n (m),anuncio,advert,
Popular culture,Celebrity culture,n (m),seguidor,follower,
Popular culture,Celebrity culture,v,seguir,(to) follow I following,
Popular culture,Celebrity culture,v,llamar; llamarse,"(to) call, name | calling, naming; (to) be called | being called ",
Popular culture,Celebrity culture,v,leer,(to) read | reading,
Popular culture,Celebrity culture,v,presentar,"(to) introduce, present | introducing, presenting",
Popular culture,Celebrity culture,v,escuchar,(to) listen (to) | listening (to),
Popular culture,Celebrity culture,v,ganar,"(to) win, earn | winning, earning",
Popular culture,Celebrity culture,v,tocar,"(to) touch, play (instrument) | touching, playing (instrument)",
Popular culture,Celebrity culture,v,jugar,(to) play (sport/game) | playing (sport/game),
Popular culture,Celebrity culture,v,juego,(I) play | (I) am playing ,
Popular culture,Celebrity culture,v,juegas,(you) play | (you) are playing,
Popular culture,Celebrity culture,v,juega | ijuega!,"(she, he, it, one) plays | (she, he, it, one) is playing | (you (sing formal)) play | Play! (you (sing informal))",
Popular culture,Celebrity culture,v,juegan,(they) play | (they) are playing,
Popular culture,Celebrity culture,v,nacer,(to) be born | being born,
Popular culture,Celebrity culture,v,casarse,(to) get married| getting married,
Popular culture,Celebrity culture,v,vestir; vestirse,(to) dress | dressing; (to) get dressed | getting dressed,
Popular culture,Celebrity culture,v,cantar,(to) sing | singing,
Popular culture,Celebrity culture,v,separar; separarse,(to) separate I separating; (to) separate (of a couple) | separating (of a couple),
Popular culture,Celebrity culture,v,celebrar; celebrarse,(to) celebrate | celebrating; (to) hold (an event) | holding (an event),
Popular culture,Celebrity culture,v,viajar,(to) travel | travelling,
Popular culture,Celebrity culture,v,respetar,(to) respect I respecting,
Popular culture,Celebrity culture,v,bailar,(to) dance I dancing,
Popular culture,Celebrity culture,v,grabar,(to) record I recording,
Popular culture,Celebrity culture,v,votar,(to) vote I voting,
Popular culture,Celebrity culture,v,divorciarse,(to) get divorced | getting divorced,
Popular culture,Celebrity culture,n (m/f),modelo,model,
Popular culture,Celebrity culture,n (m/f),artista,"artist, performer",
Popular culture,Celebrity culture,n (m/f),escritor,writer,
Popular culture,Celebrity culture,n (m/f),jugador,player,
Popular culture,Celebrity culture,n (m/f),pintor,painter,
Popular culture,Celebrity culture,n (m/f),msico,musician,
Popular culture,Celebrity culture,n (m/f),cantante,singer,
Popular culture,Celebrity culture,n (m/f),influencer,influencer,
Popular culture,"Customs, festivals and celebrations",adj,espaol,Spanish,
Popular culture,"Customs, festivals and celebrations",adj,especial,special,
Popular culture,"Customs, festivals and celebrations",adj,ingls,English,
Popular culture,"Customs, festivals and celebrations",adj,cubano,Cuban,
Popular culture,"Customs, festivals and celebrations",adj,cultural,cultural,
Popular culture,"Customs, festivals and celebrations",adj,religioso,religious,
Popular culture,"Customs, festivals and celebrations",adj,histrico,"historic, historical",
Popular culture,"Customs, festivals and celebrations",adj,mexicano,Mexican,
Popular culture,"Customs, festivals and celebrations",adj,cristiano,Christian,
Popular culture,"Customs, festivals and celebrations",adj,argentino,Argentinian,
Popular culture,"Customs, festivals and celebrations",adj,musical,musical,
Popular culture,"Customs, festivals and celebrations",adj,catlico,Catholic,
Popular culture,"Customs, festivals and celebrations",adj,peligroso,dangerous,
Popular culture,"Customs, festivals and celebrations",adj,colombiano,Colombian,
Popular culture,"Customs, festivals and celebrations",adj,judo,Jewish,
Popular culture,"Customs, festivals and celebrations",adj,chileno,Chilean,
Popular culture,"Customs, festivals and celebrations",adj,divertido,"fun, enjoyable",
Popular culture,"Customs, festivals and celebrations",adj,musulmn,Muslim,
Popular culture,"Customs, festivals and celebrations",adj,animado,lively,
Popular culture,"Customs, festivals and celebrations",intj,ÁEnhorabuena!,Congratulations!,
Popular culture,"Customs, festivals and celebrations",mwp,pasarlo bien/mal,to have a good/bad time,
Popular culture,"Customs, festivals and celebrations",mwp,al aire libre,"in the open air, outdoors",
Popular culture,"Customs, festivals and celebrations",mwp,plaza de toros,bullring,
Popular culture,"Customs, festivals and celebrations",mwp,fuegos artificiales,fireworks,
Popular culture,"Customs, festivals and celebrations",mwp,dar un paseo,"(to) go for a walk, stroll | going for a walk, stroll",
Popular culture,"Customs, festivals and celebrations",mwp,Reyes Magos,"the Three Kings, the Three Wise Men",
Popular culture,"Customs, festivals and celebrations",mwp,Da de Reyes,"Epiphany, 6th January",
Popular culture,"Customs, festivals and celebrations",mwp,Da de Muertos,Day of the Dead (Mexican celebration),
Popular culture,"Customs, festivals and celebrations",mwp,Semana Santa,"Easter Week, Holy Week",
Popular culture,"Customs, festivals and celebrations",n (f),historia,"history, story",
Popular culture,"Customs, festivals and celebrations",n (f),calle,street,
Popular culture,"Customs, festivals and celebrations",n (f),luz,"light, electricity",
Popular culture,"Customs, festivals and celebrations",n (f),msica,music,
Popular culture,"Customs, festivals and celebrations",n (f),sociedad,society,
Popular culture,"Customs, festivals and celebrations",n (f),vista,"view, sight ",
Popular culture,"Customs, festivals and celebrations",n (f),iglesia,church,
Popular culture,"Customs, festivals and celebrations",n (f),cultura,culture,
Popular culture,"Customs, festivals and celebrations",n (f),pelcula,"film, movie",
Popular culture,"Customs, festivals and celebrations",n (f),regin,region,
Popular culture,"Customs, festivals and celebrations",n (f),capital,capital (city),
Popular culture,"Customs, festivals and celebrations",n (f),lengua,"tongue, language",
Popular culture,"Customs, festivals and celebrations",n (f),flor,flower,
Popular culture,"Customs, festivals and celebrations",n (f),ropa,"clothes, clothing",
Popular culture,"Customs, festivals and celebrations",n (f),fiesta,"party, festival",
Popular culture,"Customs, festivals and celebrations",n (f),plaza,square,
Popular culture,"Customs, festivals and celebrations",n (f),comida,"food, meal, lunch",
Popular culture,"Customs, festivals and celebrations",n (f),costumbre,"custom, habit, tradition",
Popular culture,"Customs, festivals and celebrations",n (f),cancin,song,
Popular culture,"Customs, festivals and celebrations",n (f),tradicin,tradition,
Popular culture,"Customs, festivals and celebrations",n (f),cocina,"kitchen, cooking, food technology",
Popular culture,"Customs, festivals and celebrations",n (f),alegra,"joy, happiness",
Popular culture,"Customs, festivals and celebrations",n (f),religin,religion,
Popular culture,"Customs, festivals and celebrations",n (f),reina,queen,
Popular culture,"Customs, festivals and celebrations",n (f),boda,wedding,
Popular culture,"Customs, festivals and celebrations",n (f),guitarra,guitar,
Popular culture,"Customs, festivals and celebrations",n (f),celebracin,celebration,
Popular culture,"Customs, festivals and celebrations",n (f),Navidad,Christmas,
Popular culture,"Customs, festivals and celebrations",n (f),mezquita,mosque,
Popular culture,"Customs, festivals and celebrations",n (f),Nochebuena,Christmas Eve,
Popular culture,"Customs, festivals and celebrations",n (f),sinagoga,synagogue,
Popular culture,"Customs, festivals and celebrations",n (f),uva,grape,
Popular culture,"Customs, festivals and celebrations",n (f),corrida,bullfight,
Popular culture,"Customs, festivals and celebrations",n (f),Nochevieja,New Year's Eve,
Popular culture,"Customs, festivals and celebrations",n (f),paella,paella (dish usually of rice and seafood),
Popular culture,"Customs, festivals and celebrations",n (f),Tomatina,Spanish tomato festival,
Popular culture,"Customs, festivals and celebrations",n (fpl),tapas,"small dishes of food, bar snacks",
Popular culture,"Customs, festivals and celebrations",n (fpl),Las Fallas,Valencian celebration involving burning of papier mch models,
Popular culture,"Customs, festivals and celebrations",n (m),animal,animal,
Popular culture,"Customs, festivals and celebrations",n (m),caf,"coffee, cafe",
Popular culture,"Customs, festivals and celebrations",n (m),nombre,name,
Popular culture,"Customs, festivals and celebrations",n (m),pas,country,
Popular culture,"Customs, festivals and celebrations",n (m),mundo,world,
Popular culture,"Customs, festivals and celebrations",n (m),arte,art,
Popular culture,"Customs, festivals and celebrations",n (m),paso,"step, pace, religious image carried in Holy Week processions",
Popular culture,"Customs, festivals and celebrations",n (m),traje,"suit, costume",
Popular culture,"Customs, festivals and celebrations",n (m),juego,game,
Popular culture,"Customs, festivals and celebrations",n (m),sol,sun,
Popular culture,"Customs, festivals and celebrations",n (m),inters,interest,
Popular culture,"Customs, festivals and celebrations",n (m),aire,air,
Popular culture,"Customs, festivals and celebrations",n (m),santo,"saint, saint's day",
Popular culture,"Customs, festivals and celebrations",n (m),mercado,market,
Popular culture,"Customs, festivals and celebrations",n (m),viaje,"trip, journey",
Popular culture,"Customs, festivals and celebrations",n (m),teatro,"theatre, drama",
Popular culture,"Customs, festivals and celebrations",n (m),rey,king,
Popular culture,"Customs, festivals and celebrations",n (m),riesgo,risk,
Popular culture,"Customs, festivals and celebrations",n (m),fuego,fire,
Popular culture,"Customs, festivals and celebrations",n (m),caballo,horse,
Popular culture,"Customs, festivals and celebrations",n (m),puesto,"post, position, stall (market)",
Popular culture,"Customs, festivals and celebrations",n (m),puerto,"port, harbour",
Popular culture,"Customs, festivals and celebrations",n (m),habitante,"local (person), inhabitant",
Popular culture,"Customs, festivals and celebrations",n (m),matrimonio,marriage,
Popular culture,"Customs, festivals and celebrations",n (m),peligro,danger,
Popular culture,"Customs, festivals and celebrations",n (m),vino,wine,
Popular culture,"Customs, festivals and celebrations",n (m),concierto,concert,
Popular culture,"Customs, festivals and celebrations",n (m),vestido,dress,
Popular culture,"Customs, festivals and celebrations",n (m),plato,"plate, dish",
Popular culture,"Customs, festivals and celebrations",n (m),regalo,"present, gift",
Popular culture,"Customs, festivals and celebrations",n (m),templo,temple,
Popular culture,"Customs, festivals and celebrations",n (m),baile,dance,
Popular culture,"Customs, festivals and celebrations",n (m),toro,bull,
Popular culture,"Customs, festivals and celebrations",n (m),cumpleaos,birthday,
Popular culture,"Customs, festivals and celebrations",n (m),tomate,tomato,
Popular culture,"Customs, festivals and celebrations",n (m),desfile,"procession, parade",
Popular culture,"Customs, festivals and celebrations",n (m),caramelo,sweet,
Popular culture,"Customs, festivals and celebrations",n (m),disfraz,"costume, fancy dress",
Popular culture,"Customs, festivals and celebrations",n (m),flamenco,flamenco (dance/music from the south of Spain),
Popular culture,"Customs, festivals and celebrations",n (mpl),Sanfermines,festival in Pamplona involving running of the bulls,
Popular culture,"Customs, festivals and celebrations",v,pasar,"(to) pass, spend (time), happen I  passing, spending (time), happening",
Popular culture,"Customs, festivals and celebrations",v,recibir,(to) receive | receiving,
Popular culture,"Customs, festivals and celebrations",v,comer,(to) eat | eating,
Popular culture,"Customs, festivals and celebrations",v,descubrir,(to) discover | discovering,
Popular culture,"Customs, festivals and celebrations",v,compartir,(to) share | sharing,
Popular culture,"Customs, festivals and celebrations",v,participar,(to) participate | participating,
Popular culture,"Customs, festivals and celebrations",v,tirar,"(to) throw, pull | throwing, pulling",
Popular culture,"Customs, festivals and celebrations",v,vestir; vestirse,(to) dress | dressing; (to) get dressed | getting dressed,
Popular culture,"Customs, festivals and celebrations",v,cantar,(to) sing | singing,
Popular culture,"Customs, festivals and celebrations",v,invitar,(to) invite | inviting,
Popular culture,"Customs, festivals and celebrations",v,celebrar; celebrarse,(to) celebrate | celebrating; (to) hold (an event) | holding (an event),
Popular culture,"Customs, festivals and celebrations",v,viajar,(to) travel | travelling,
Popular culture,"Customs, festivals and celebrations",v,bailar,(to) dance I dancing,
Popular culture,"Customs, festivals and celebrations",v,pintar; pintarse,(to) paint I painting; (to) put on makeup | putting on makeup,
Popular culture,"Customs, festivals and celebrations",v,besar,(to) kiss I kissing,
Popular culture,"Customs, festivals and celebrations",v,reservar,"(to) book, reserve | booking, reserving",
Popular culture,"Customs, festivals and celebrations",n (m/f),mar,sea,
Popular culture,"Customs, festivals and celebrations",n (m/f),artista,"artist, performer",
Popular culture,Free time activities,adj,social,social,
Popular culture,Free time activities,adj,rico,"rich, wealthy, tasty ",
Popular culture,Free time activities,adj,fsico,physical,
Popular culture,Free time activities,adj,clsico,"classic, classical",
Popular culture,Free time activities,adj,musical,musical,
Popular culture,Free time activities,adj,activo,active,
Popular culture,Free time activities,adj,artstico,artistic,
Popular culture,Free time activities,adj,dulce,sweet,
Popular culture,Free time activities,adj,deportivo,"sporty, sports",
Popular culture,Free time activities,adj,gracioso,funny,
Popular culture,Free time activities,adj,bienvenido,welcome,
Popular culture,Free time activities,adj,gratis,free (of charge),
Popular culture,Free time activities,mwp,patatas fritas,"chips, fries",
Popular culture,Free time activities,mwp,tomar el sol,(to) sunbathe | sunbathing,
Popular culture,Free time activities,mwp,medios de comunicacin,media,
Popular culture,Free time activities,mwp,pasarlo bien/mal,to have a good/bad time,
Popular culture,Free time activities,mwp,centro comercial,shopping centre,
Popular culture,Free time activities,mwp,al aire libre,"in the open air, outdoors",
Popular culture,Free time activities,mwp,parque temtico,theme park,
Popular culture,Free time activities,mwp,dar un paseo,"(to) go for a walk, stroll | going for a walk, stroll",
Popular culture,Free time activities,n (f),cuenta,"bill, account",
Popular culture,Free time activities,n (f),agua,water,
Popular culture,Free time activities,n (f),familia,family,
Popular culture,Free time activities,n (f),relacin,relationship,
Popular culture,Free time activities,n (f),msica,music,
Popular culture,Free time activities,n (f),actividad,activity,
Popular culture,Free time activities,n (f),accin,"action, act",
Popular culture,Free time activities,n (f),vista,"view, sight ",
Popular culture,Free time activities,n (f),serie,series,
Popular culture,Free time activities,n (f),cultura,culture,
Popular culture,Free time activities,n (f),carrera,"career, (university) degree course, race",
Popular culture,Free time activities,n (f),organizacin,organisation,
Popular culture,Free time activities,n (f),pelcula,"film, movie",
Popular culture,Free time activities,n (f),carta,"letter, menu",
Popular culture,Free time activities,n (f),naturaleza,nature,
Popular culture,Free time activities,n (f),novela,novel,
Popular culture,Free time activities,n (f),red (Red),"network (Internet), net (fishing)",
Popular culture,Free time activities,n (f),entrada,"entrance, admission ticket",
Popular culture,Free time activities,n (f),ropa,"clothes, clothing",
Popular culture,Free time activities,n (f),fiesta,"party, festival",
Popular culture,Free time activities,n (f),"tele, televisin","TV, television",
Popular culture,Free time activities,n (f),carne,meat,
Popular culture,Free time activities,n (f),cmara,camera,
Popular culture,Free time activities,n (f),comida,"food, meal, lunch",
Popular culture,Free time activities,n (f),revista,magazine,
Popular culture,Free time activities,n (f),letra,"letter, lyrics",
Popular culture,Free time activities,n (f),cancin,song,
Popular culture,Free time activities,n (f),app,app,
Popular culture,Free time activities,n (f),tecnologa,technology,
Popular culture,Free time activities,n (f),caja,"box, till (in shop)",
Popular culture,Free time activities,n (f),escena,"scene (of film), stage",
Popular culture,Free time activities,n (f),violencia,violence,
Popular culture,Free time activities,n (f),risa,laugh,
Popular culture,Free time activities,n (f),opcin,"option, choice",
Popular culture,Free time activities,n (f),cocina,"kitchen, cooking, food technology",
Popular culture,Free time activities,n (f),marca,"make, brand",
Popular culture,Free time activities,n (f),temporada,"season (of sport, music)",
Popular culture,Free time activities,n (f),leche,milk,
Popular culture,Free time activities,n (f),moda; de moda,"fashion; in fashion, fashionable",
Popular culture,Free time activities,n (f),playa,beach,
Popular culture,Free time activities,n (f),copa,"cup, glass",
Popular culture,Free time activities,n (f),tienda,"shop, tent",
Popular culture,Free time activities,n (f),bolsa,bag,
Popular culture,Free time activities,n (f),compra(s),shopping,
Popular culture,Free time activities,n (f),oferta,offer,
Popular culture,Free time activities,n (f),camisa,shirt,
Popular culture,Free time activities,n (f),fruta,fruit,
Popular culture,Free time activities,n (f),tarjeta,"written card, bank card",
Popular culture,Free time activities,n (f),cena,"dinner, evening meal",
Popular culture,Free time activities,n (f),grasa,"fat, grease",
Popular culture,Free time activities,n (f),guitarra,guitar,
Popular culture,Free time activities,n (f),falda,skirt,
Popular culture,Free time activities,n (f),bebida,drink,
Popular culture,Free time activities,n (f),ficcin,fiction,
Popular culture,Free time activities,n (f),naranja,orange (fruit),
Popular culture,Free time activities,n (f),manzana,apple,
Popular culture,Free time activities,n (f),camiseta,t-shirt,
Popular culture,Free time activities,n (f),sal,salt,
Popular culture,Free time activities,n (f),verdura,vegetable,
Popular culture,Free time activities,n (f),piscina,swimming pool,
Popular culture,Free time activities,n (f),excursin,"trip, excursion",
Popular culture,Free time activities,n (f),camarera,waitress,
Popular culture,Free time activities,n (f),ensalada,salad,
Popular culture,Free time activities,n (f),hamburguesa,burger,
Popular culture,Free time activities,n (f),mochila,"rucksack, school bag",
Popular culture,Free time activities,n (f),telerrealidad,reality TV,
Popular culture,Free time activities,n (f),uva,grape,
Popular culture,Free time activities,n (f),corrida,bullfight,
Popular culture,Free time activities,n (f),paella,paella (dish usually of rice and seafood),
Popular culture,Free time activities,n (f),"bicicleta, bici","bicycle, bike",
Popular culture,Free time activities,n (fpl),gafas,glasses,
Popular culture,Free time activities,n (fpl),tapas,"small dishes of food, bar snacks",
Popular culture,Free time activities,n (m),caf,"coffee, cafe",
Popular culture,Free time activities,n (m),camping,"camp site, camping",
Popular culture,Free time activities,n (m),club,club,
Popular culture,Free time activities,n (m),euro,euro,
Popular culture,Free time activities,n (m),Internet,internet,
Popular culture,Free time activities,n (m),arte,art,
Popular culture,Free time activities,n (m),amigo,friend,
Popular culture,Free time activities,n (m),libro,book,
Popular culture,Free time activities,n (m),partido,"(sports) match, (political) party",
Popular culture,Free time activities,n (m),programa,programme,
Popular culture,Free time activities,n (m),traje,"suit, costume",
Popular culture,Free time activities,n (m),juego,game,
Popular culture,Free time activities,n (m),pie; a pie,foot; on foot,
Popular culture,Free time activities,n (m),equipo,"team, equipment",
