language,Part of speech,word,translation,word_type,gender,article,display_word,example_sentence_original,example_sentence_translation,exam_board_code,theme_name,theme_name.1,tier,is_required
es,n (f),la app,app,,,la,la app,,,AQA,Communication and the world around us,Media and technology,both,
es,adj,directo,"direct, straight",,,,directo,,,AQA,Communication and the world around us,Media and technology,both,
es,n (f),la tecnología,technology,,,la,la tecnología,,,AQA,Communication and the world around us,Media and technology,both,
es,n (f),la escena,"scene (of film), stage",,,la,la escena,,,AQA,Communication and the world around us,Media and technology,both,
es,v,proteger,(to) protect | protecting,,,,proteger,,,AQA,Communication and the world around us,Media and technology,both,
es,n (m),el peligro,danger,,,el,el peligro,,,AQA,Communication and the world around us,Media and technology,both,
es,n (m),el vídeo,video,,,el,el vídeo,,,AQA,Communication and the world around us,Media and technology,both,
es,v,comunicar,(to) communicate  I  communicating,,,,comunicar,,,AQA,Communication and the world around us,Media and technology,both,
es,n (f),la marca,"make, brand",,,la,la marca,,,AQA,Communication and the world around us,Media and technology,both,
es,v,robar,"(to) rob, steal I robbing, stealing",,,,robar,,,AQA,Communication and the world around us,Media and technology,both,
es,adj,eléctrico,electric,,,,eléctrico,,,AQA,Communication and the world around us,Media and technology,both,
es,v,encender,(to) turn on I turning on,,,,encender,,,AQA,Communication and the world around us,Media and technology,both,
es,v,grabar,(to) record I recording,,,,grabar,,,AQA,Communication and the world around us,Media and technology,both,
es,adj,peligroso,dangerous,,,,peligroso,,,AQA,Communication and the world around us,Media and technology,both,
es,n (m),el correo (electrónico),"mail, post (email)",,,el,el correo (electrónico),,,AQA,Communication and the world around us,Media and technology,both,
es,n (f),la compra(s),shopping,,,la,la compra(s),,,AQA,Communication and the world around us,Media and technology,both,
es,v,apagar,"(to) turn off, extinguish I turning off, extinguishing",,,,apagar,,,AQA,Communication and the world around us,Media and technology,both,
es,v,votar,(to) vote I voting,,,,votar,,,AQA,Communication and the world around us,Media and technology,both,
es,n (f),la pantalla,"screen, monitor",,,la,la pantalla,,,AQA,Communication and the world around us,Media and technology,both,
es,adj,débil,weak,,,,débil,,,AQA,Communication and the world around us,Media and technology,both,
es,n (m),el anuncio,advert,,,el,el anuncio,,,AQA,Communication and the world around us,Media and technology,both,
es,n (m),el móvil,mobile phone,,,el,el móvil,,,AQA,Communication and the world around us,Media and technology,both,
es,adj,caro,expensive,,,,caro,,,AQA,Communication and the world around us,Media and technology,both,
es,n (m),el seguidor,follower,,,el,el seguidor,,,AQA,Communication and the world around us,Media and technology,both,
es,n (m),el ordenador,computer,,,el,el ordenador,,,AQA,Communication and the world around us,Media and technology,both,
es,n (m),el teclado,keyboard,,,el,el teclado,,,AQA,Communication and the world around us,Media and technology,both,
es,adj,gratis,free (of charge),,,,gratis,,,AQA,Communication and the world around us,Media and technology,both,
es,n (m/f),influencer,influencer,,,,influencer,,,AQA,Communication and the world around us,Media and technology,both,
es,n (f),la informática,ICT,,,la,la informática,,,AQA,Communication and the world around us,Media and technology,both,
es,adj,online,online,,,,online,,,AQA,Communication and the world around us,Media and technology,both,
es,n (f),la tableta,tablet (eg. ipad),,,la,la tableta,,,AQA,Communication and the world around us,Media and technology,both,
es,n (m),el videojuego,computer game,,,el,el videojuego,,,AQA,Communication and the world around us,Media and technology,both,
es,mwp,medios de comunicación,media,,,,medios de comunicación,,,AQA,Communication and the world around us,Media and technology,both,
es,n (m),el café,"coffee, cafe",,,el,el café,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el camping,"camp site, camping",,,el,el camping,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el euro,euro,,,el,el euro,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el este,east,,,el,el este,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el país,country,,,el,el país,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el mundo,world,,,el,el mundo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,buscar,"(to) look for, fetch | looking for, fetching",,,,buscar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la historia,"history, story",,,la,la historia,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,perder; perderse,"(to) lose, miss | losing, missing; (to) get lost | getting lost",,,,perder; perderse,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la familia,family,,,la,la familia,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,español,Spanish,,,,español,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el campo,"countryside, pitch, field",,,el,el campo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,comer,(to) eat | eating,,,,comer,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la zona,"area, zone",,,la,la zona,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,comprar,"(to) buy, purchase | buying, purchasing",,,,comprar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el pie; a pie,foot; on foot,,,el,el pie; a pie,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,pagar,(to) pay (for) | paying (for),,,,pagar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el sol,sun,,,el,el sol,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la vista,"view, sight",,,la,la vista,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la iglesia,church,,,la,la iglesia,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el espacio,"space, room",,,el,el espacio,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la cultura,culture,,,la,la cultura,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m/f),mar,sea,,,,mar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el mercado,market,,,el,el mercado,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el río,river,,,el,el río,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el viaje,"trip, journey",,,el,el viaje,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la comunidad,community,,,la,la comunidad,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,vender,(to) sell |selling,,,,vender,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el peso,"weight, peso (currency)",,,el,el peso,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la región,region,,,la,la región,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el precio,"price, cost, value",,,el,el precio,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,francés,French,,,,francés,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la capital,capital (city),,,la,la capital,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,inglés,English,,,,inglés,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la lengua,"tongue, language",,,la,la lengua,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,cubano,Cuban,,,,cubano,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,cultural,cultural,,,,cultural,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,europeo,European,,,,europeo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,conocido,"known, well-known",,,,conocido,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,alemán,German,,,,alemán,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el extranjero,"abroad, foreigner (m)",,,el,el extranjero,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la entrada,"entrance, admission ticket",,,la,la entrada,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la planta,"plant, floor",,,la,la planta,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el recuerdo,"memory, souvenir",,,el,el recuerdo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,costar,"(to) cost, be hard | costing, being hard",,,,costar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la ropa,"clothes, clothing",,,la,la ropa,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,visitar,(to) visit | visiting,,,,visitar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la fiesta,"party, festival",,,la,la fiesta,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el metro,"underground, tube, metro, metre",,,el,el metro,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la plaza,square,,,la,la plaza,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la isla,island,,,la,la isla,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el viento,wind,,,el,el viento,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,histórico,"historic, historical",,,,histórico,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,mexicano,Mexican,,,,mexicano,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el edificio,building,,,el,el edificio,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la carne,meat,,,la,la carne,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj/adv,rápido,"quick, fast",,,,rápido,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la foto,"photo, picture",,,la,la foto,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el piso,"flat, apartment, floor (of building)",,,el,el piso,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la costa,coast,,,la,la costa,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,viajar,(to) travel | travelling,,,,viajar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la cámara,camera,,,la,la cámara,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la comida,"food, meal, lunch",,,la,la comida,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,disfrutar,(to) enjoy | enjoying,,,,disfrutar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el barrio,"neighborhood, district",,,el,el barrio,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el calor,"heat, hot",,,el,el calor,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el grado,degree (temperature),,,el,el grado,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,probar,"(to) taste, try | tasting, trying",,,,probar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la costumbre,"custom, habit, tradition",,,la,la costumbre,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,hermoso,"beautiful, handsome",,,,hermoso,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la lluvia,rain,,,la,la lluvia,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,famoso,"famous, well-known",,,,famoso,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,conducir,(to) drive | driving,,,,conducir,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,coger,"(to) take, take hold of, catch | taking, taking hold of, catching",,,,coger,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la vuelta,"return, trip, ride",,,la,la vuelta,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,frío,cold,,,,frío,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,directo,"direct, straight",,,,directo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,argentino,Argentinian,,,,argentino,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,organizar,(to) organise | organising,,,,organizar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la tradición,tradition,,,la,la tradición,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,tranquilo,"calm, tranquil, relaxed",,,,tranquilo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el puerto,"port, harbour",,,el,el puerto,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,clásico,"classic, classical",,,,clásico,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el museo,museum,,,el,el museo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el habitante,"local (person), inhabitant",,,el,el habitante,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el verano,summer,,,el,el verano,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la salida,"exit, departure",,,la,la salida,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,italiano,Italian,,,,italiano,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el idioma,language,,,el,el idioma,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el hotel,hotel,,,el,el hotel,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la lista,"list, (school) register",,,la,la lista,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el coche,car,,,el,el coche,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el jardín,garden,,,el,el jardín,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,británico,British,,,,británico,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,soñar,(to) dream I dreaming,,,,soñar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,comunicar,(to) communicate  I  communicating,,,,comunicar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la temperatura,temperature,,,la,la temperatura,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,industrial,industrial,,,,industrial,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el baño,bathroom,,,el,el baño,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el pan,bread,,,el,el pan,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el vino,wine,,,el,el vino,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,chino,Chinese,,,,chino,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el barco,"boat, ship",,,el,el barco,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el avión,"plane, aeroplane",,,el,el avión,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el transporte,transport,,,el,el transporte,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la estación,"station, season (of the year)",,,la,la estación,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el bosque,"forest, wood",,,el,el bosque,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,montar,"(to) ride, set up I riding, setting up",,,,montar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la montaña,mountain,,,la,la montaña,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la playa,beach,,,la,la playa,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el tren,train,,,el,el tren,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,fresco,"fresh, cool",,,,fresco,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la copa,"cup, glass",,,la,la copa,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la tienda,"shop, tent",,,la,la tienda,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el kilómetro,kilometer,,,el,el kilómetro,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la bolsa,bag,,,la,la bolsa,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,practicar,(to) practise I practising,,,,practicar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,colombiano,Colombian,,,,colombiano,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el plano,map,,,el,el plano,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el espectáculo,"show, spectacle",,,el,el espectáculo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la arquitectura,architecture,,,la,la arquitectura,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la compra(s),shopping,,,la,la compra(s),,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el clima,climate,,,el,el clima,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el paisaje,landscape,,,el,el paisaje,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,limpio,clean,,,,limpio,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la carretera,road,,,la,la carretera,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el vuelo,flight,,,el,el vuelo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,descansar,"(to) rest, relax I resting, relaxing",,,,descansar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la identidad,identity,,,la,la identidad,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el plato,"plate, dish",,,el,el plato,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,caliente,"hot, warm",,,,caliente,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el invierno,winter,,,el,el invierno,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,chileno,Chilean,,,,chileno,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,perdido,lost,,,,perdido,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la fruta,fruit,,,la,la fruta,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la tarjeta,"written card, bank card",,,la,la tarjeta,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el templo,temple,,,el,el templo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,llover,(to) rain I raining,,,,llover,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,barato,cheap,,,,barato,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,caro,expensive,,,,caro,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el tráfico,traffic,,,el,el tráfico,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el dormitorio,bedroom,,,el,el dormitorio,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el oeste,west,,,el,el oeste,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el aeropuerto,airport,,,el,el aeropuerto,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la cena,"dinner, evening meal",,,la,la cena,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el castillo,castle,,,el,el castillo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el restaurante,restaurant,,,el,el restaurante,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la vacaciones; de vacaciones,holidays; on holiday,,,la,la vacaciones; de vacaciones,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la primavera,spring,,,la,la primavera,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la bebida,drink,,,la,la bebida,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m/f),turista,tourist,,,,turista,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el billete,ticket (for transport),,,el,el billete,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,reservar,"(to) book, reserve | booking, reserving",,,,reservar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el desayuno,breakfast,,,el,el desayuno,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el pescado,fish,,,el,el pescado,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el otoño,autumn,,,el,el otoño,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el pollo,chicken,,,el,el pollo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,v,nadar,(to) swim | swimming,,,,nadar,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el autobús,bus,,,el,el autobús,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la geografía,geography,,,la,la geografía,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la recepción,reception,,,la,la recepción,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la maleta,suitcase,,,la,la maleta,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,animado,lively,,,,animado,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el desfile,"procession, parade",,,el,el desfile,,,AQA,Communication and the world around us,Travel and tourism,both,
es,adj,bienvenido,welcome,,,,bienvenido,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la piscina,swimming pool,,,la,la piscina,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la excursión,"trip, excursion",,,la,la excursión,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el alojamiento,accommodation,,,el,el alojamiento,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la camarera,waitress,,,la,la camarera,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el camarero,waiter,,,el,el camarero,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el jamón,ham,,,el,el jamón,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la mezquita,mosque,,,la,la mezquita,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la mochila,"rucksack, school bag",,,la,la mochila,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la sinagoga,synagogue,,,la,la sinagoga,,,AQA,Communication and the world around us,Travel and tourism,both,
es,mwp,patatas fritas,"chips, fries",,,,patatas fritas,,,AQA,Communication and the world around us,Travel and tourism,both,
es,mwp,tomar el sol,(to) sunbathe | sunbathing,,,,tomar el sol,,,AQA,Communication and the world around us,Travel and tourism,both,
es,mwp,pasarlo bien/mal,to have a good/bad time,,,,pasarlo bien/mal,,,AQA,Communication and the world around us,Travel and tourism,both,
es,mwp,centro comercial,shopping centre,,,,centro comercial,,,AQA,Communication and the world around us,Travel and tourism,both,
es,mwp,dar un paseo,"(to) go for a walk, stroll | going for a walk, stroll",,,,dar un paseo,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la corrida,bullfight,,,la,la corrida,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (m),el ayuntamiento,"Spanish town council, city council, town hall",,,el,el ayuntamiento,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la paella,paella (dish usually of rice and seafood),,,la,la paella,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (fpl),tapas,"small dishes of food, bar snacks",,,,tapas,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la España,Spain,,,la,la España,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),la Sudamérica,South America,,,la,la Sudamérica,,,AQA,Communication and the world around us,Travel and tourism,both,
es,n (f),"la bicicleta, bici","bicycle, bike",,,la,"la bicicleta, bici",,,AQA,Communication and the world around us,Travel and tourism,both,
es,mwp,plaza de toros,bullring,,,,plaza de toros,,,AQA,Cultural items,Cultural items,both,
es,mwp,fuegos artificiales,fireworks,,,,fuegos artificiales,,,AQA,Cultural items,Cultural items,both,
es,mwp,dar un paseo,"(to) go for a walk, stroll | going for a walk, stroll",,,,dar un paseo,,,AQA,Cultural items,Cultural items,both,
es,mwp,Reyes Magos,"the Three Kings, the Three Wise Men",,,,Reyes Magos,,,AQA,Cultural items,Cultural items,both,
es,n (f),la corrida,bullfight,,,la,la corrida,,,AQA,Cultural items,Cultural items,both,
es,mwp,Día de Reyes,"Epiphany, 6th January",,,,Día de Reyes,,,AQA,Cultural items,Cultural items,both,
es,mwp,Día de Muertos,Day of the Dead (Mexican celebration),,,,Día de Muertos,,,AQA,Cultural items,Cultural items,both,
es,mwp,Semana Santa,"Easter Week, Holy Week",,,,Semana Santa,,,AQA,Cultural items,Cultural items,both,
es,n (m),el ayuntamiento,"Spanish town council, city council, town hall",,,el,el ayuntamiento,,,AQA,Cultural items,Cultural items,both,
es,n (f),la Nochevieja,New Year's Eve,,,la,la Nochevieja,,,AQA,Cultural items,Cultural items,both,
es,n (f),la paella,paella (dish usually of rice and seafood),,,la,la paella,,,AQA,Cultural items,Cultural items,both,
es,n (fpl),tapas,"small dishes of food, bar snacks",,,,tapas,,,AQA,Cultural items,Cultural items,both,
es,n (m),el disfraz,"costume, fancy dress",,,el,el disfraz,,,AQA,Cultural items,Cultural items,both,
es,n (fpl),Las Fallas,Valencian celebration involving burning of papier mâché models,,,,Las Fallas,,,AQA,Cultural items,Cultural items,both,
es,n (f),la Tomatina,Spanish tomato festival,,,la,la Tomatina,,,AQA,Cultural items,Cultural items,both,
es,n (mpl),Sanfermines,festival in Pamplona involving running of the bulls,,,,Sanfermines,,,AQA,Cultural items,Cultural items,both,
es,n (f),la España,Spain,,,la,la España,,,AQA,Cultural items,Cultural items,both,
es,n (m),el flamenco,flamenco (dance/music from the south of Spain),,,el,el flamenco,,,AQA,Cultural items,Cultural items,both,
es,n (f),la Sudamérica,South America,,,la,la Sudamérica,,,AQA,Cultural items,Cultural items,both,
es,n (m),el Bachillerato,Baccalaureate (equivalent to A levels),,,el,el Bachillerato,,,AQA,Cultural items,Cultural items,both,
es,prep,a,"to, at",,,,a,,,AQA,General,General,both,
es,adv,bien,well,,,,bien,,,AQA,General,General,both,
es,num,dos,two,,,,dos,,,AQA,General,General,both,
es,prep,en,"in, on",,,,en,,,AQA,General,General,both,
es,prep,entre,"between, among",,,,entre,,,AQA,General,General,both,
es,v,es,"(she, he, it, one) is (trait) | (you (sing formal)) are (trait)",,,,es,,,AQA,General,General,both,
es,adj,grave,"serious, grave",,,,grave,,,AQA,General,General,both,
es,pron,les,"(to) them (m, f) (indirect obj)",,,,les,,,AQA,General,General,both,
es,adj,libre,"free, vacant",,,,libre,,,AQA,General,General,both,
es,adj,mal,bad (m) (pre-noun),,,,mal,,,AQA,General,General,both,
es,adv,mal,badly,,,,mal,,,AQA,General,General,both,
es,n (m),el mes,month,,,el,el mes,,,AQA,General,General,both,
es,conj,si,"if, whether",,,,si,,,AQA,General,General,both,
es,v,son,(they) are (trait) | (you (pl formal)) are (trait),,,,son,,,AQA,General,General,both,
es,adj,triste,"sad, unhappy, upset",,,,triste,,,AQA,General,General,both,
es,det,tu,your (sing informal),,,,tu,,,AQA,General,General,both,
es,v,vais,(you (pl informal)) go | (you (pl informal)) are going,,,,vais,,,AQA,General,General,both,
es,v,vas,(you (sing informal)) go | (you (sing informal)) are going,,,,vas,,,AQA,General,General,both,
es,v,venir,(to) come | coming,,,,venir,,,AQA,General,General,both,
es,det,el,the (m),,,,el,,,AQA,General,General,both,
es,det,la,the (f),,,,la,,,AQA,General,General,both,
es,det,los,the (mpl),,,,los,,,AQA,General,General,both,
es,det,las,the (fpl),,,,las,,,AQA,General,General,both,
es,prep,de,"of, from",,,,de,,,AQA,General,General,both,
es,prep,del,"of the (m, sing)",,,,del,,,AQA,General,General,both,
es,pron,que,"who, that (subj)",,,,que,,,AQA,General,General,both,
es,conj,que,that,,,,que,,,AQA,General,General,both,
es,conj,y,and,,,,y,,,AQA,General,General,both,
es,det,un,a/an (m),,,,un,,,AQA,General,General,both,
es,det,una,a/an (f),,,,una,,,AQA,General,General,both,
es,det,unos,some (mpl),,,,unos,,,AQA,General,General,both,
es,det,unas,some (fpl),,,,unas,,,AQA,General,General,both,
es,v,ser,(to) be (trait) | being (trait),,,,ser,,,AQA,General,General,both,
es,v,soy,(I) am (trait),,,,soy,,,AQA,General,General,both,
es,v,eres,(you (sing informal)) are (trait),,,,eres,,,AQA,General,General,both,
es,v,somos,(we) are (trait),,,,somos,,,AQA,General,General,both,
es,v,sois,(you (pl informal)) are (trait),,,,sois,,,AQA,General,General,both,
es,v,fui,(I) went | (I) was (trait),,,,fui,,,AQA,General,General,both,
es,v,fuiste,(you (sing informal)) went | (you (sing informal)) were (trait),,,,fuiste,,,AQA,General,General,both,
es,v,fue,"(she, he, it, one) went | (you (sing formal)) went | (she, he, it, one) was (trait) | (you (sing formal)) were (trait)",,,,fue,,,AQA,General,General,both,
es,v,fuimos,(we) went | (we) were (trait),,,,fuimos,,,AQA,General,General,both,
es,v,fuisteis,(you (pl informal)) went | (you (pl informal)) were (trait),,,,fuisteis,,,AQA,General,General,both,
