word,translation,language,category,subcategory,part_of_speech,difficulty_level,curriculum_level,example_sentence,example_translation,phonetic,gender,irregular_forms,synonyms,antonyms,tags,article,base_word,,_20
oncle,uncle,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mon oncle habite à Paris.,My uncle lives in Paris.,/ɔ̃kl/,m,,,tante,family,l',oncle,,
tante,aunt,fr,identity_personal_life,family_friends,noun,beginner,KS3,Ma tante est médecin.,My aunt is a doctor.,/tɑ̃t/,f,,,oncle,family,la,tante,,
cousin,cousin,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mon cousin joue du piano.,My cousin plays piano.,/ku.zɛ̃/,m,,cousine,,family,le,cousin,,
cousine,cousin,fr,identity_personal_life,family_friends,noun,beginner,KS3,Ma cousine est amusante.,My cousin is funny.,/ku.zin/,f,,,cousin,family,la,cousine,,
fils,son,fr,identity_personal_life,family_friends,noun,beginner,KS3,Leur fils a cinq ans.,Their son is five years old.,/fis/,m,,,fille,family,le,fils,,
fille,daughter,fr,identity_personal_life,family_friends,noun,beginner,KS3,Leur fille va à l'école.,Their daughter goes to school.,/fij/,f,,,fils,family,la,fille,,
mari,husband,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mon mari travaille tard.,My husband works late.,/ma.ʁi/,m,,époux,femme,family,le,mari,,
femme,wife,fr,identity_personal_life,family_friends,noun,beginner,KS3,Sa femme est professeure.,His wife is a teacher.,/fam/,f,,épouse,mari,family,la,femme,,
époux,spouse,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mon époux est gentil.,My spouse is kind.,/e.pu/,m,,mari,,family,l',époux,,
épouse,spouse,fr,identity_personal_life,family_friends,noun,beginner,KS3,Son épouse est docteur.,His spouse is a doctor.,/e.puz/,f,,femme,,family,l',épouse,,
enfant,child,fr,identity_personal_life,family_friends,noun,beginner,KS3,L'enfant joue dans le parc.,The child plays in the park.,/ɑ̃.fɑ̃/,mf,,,adulte,family,l',enfant,,
enfants,children,fr,identity_personal_life,family_friends,noun,beginner,KS3,Les enfants sont à l'école.,The children are at school.,/ɑ̃.fɑ̃/,mf,,,,family,les,enfants,,
bébé,baby,fr,identity_personal_life,family_friends,noun,beginner,KS3,Le bébé dort.,The baby is sleeping.,/be.be/,m,,,adulte,family,le,bébé,,
parents,parents,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mes parents sont en vacances.,My parents are on vacation.,/pa.ʁɑ̃/,m pl,,,enfants,family,les,parents,,
ami,friend,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mon ami est drôle.,My friend is funny.,/a.mi/,m,,amie,ennemi,relationship,l',ami,,
amie,friend,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mon amie est sympa.,My friend is nice.,/a.mi/,f,,,ennemie,relationship,l',amie,,
petit ami,boyfriend,fr,identity_personal_life,family_friends,noun,beginner,KS3,Son petit ami est charmant.,Her boyfriend is charming.,/pə.ti‿t‿a.mi/,m,,,petite amie,relationship,le,petit ami,,
petite amie,girlfriend,fr,identity_personal_life,family_friends,noun,beginner,KS3,Ma petite amie étudie le français.,My girlfriend studies French.,/pə.tit‿a.mi/,f,,,petit ami,relationship,la,petite amie,,
copain,friend/buddy,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mon copain habite près d'ici.,My friend lives nearby.,/kɔ.pɛ̃/,m,,copine,,relationship;informal,le,copain,,
copine,friend/girlfriend,fr,identity_personal_life,family_friends,noun,beginner,KS3,Ma copine arrive demain.,My friend arrives tomorrow.,/kɔ.pin/,f,,,copain,relationship;informal,la,copine,,
voisin,neighbor,fr,identity_personal_life,family_friends,noun,beginner,KS3,Notre voisin est médecin.,Our neighbor is a doctor.,/vwa.zɛ̃/,m,,voisine,,relationship,le,voisin,,
voisine,neighbor,fr,identity_personal_life,family_friends,noun,beginner,KS3,Ma voisine a un chat.,My neighbor has a cat.,/vwa.zin/,f,,,voisin,relationship,la,voisine,,
collègue,colleague,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mon collègue travaille dur.,My colleague works hard.,/kɔ.lɛɡ/,mf,,,ennemi,relationship,le/la,collègue,,
camarade,classmate,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mon camarade m'aide en maths.,My classmate helps me with math.,/ka.ma.ʁad/,mf,,,ennemi,relationship;school,le/la,camarade,,
professeur,teacher,fr,identity_personal_life,family_friends,noun,beginner,KS3,Le professeur explique la leçon.,The teacher explains the lesson.,/pʁɔ.fe.sœʁ/,mf,,prof,élève,relationship;school,le,professeur,,
prof,teacher,fr,identity_personal_life,family_friends,noun,beginner,KS3,Le prof arrive en retard.,The teacher arrives late.,/pʁɔf/,mf,,,élève,relationship;school;informal,le/la,prof,,
élève,student,fr,identity_personal_life,family_friends,noun,beginner,KS3,L'élève étudie pour l'examen.,The student studies for the exam.,/e.lɛv/,mf,,,professeur,relationship;school,l',élève,,
étudiant,student,fr,identity_personal_life,family_friends,noun,beginner,KS3,L'étudiant va à l'université.,The student goes to university.,/e.ty.djɑ̃/,m,,étudiante,professeur,relationship;university,l',étudiant,,
étudiante,student,fr,identity_personal_life,family_friends,noun,beginner,KS3,L'étudiante étudie la médecine.,The student studies medicine.,/e.ty.djɑ̃t/,f,,,professeur,relationship;university,l',étudiante,,
nom,name,fr,identity_personal_life,personal_information,noun,beginner,KS3,Quel est votre nom ?,What is your name?,/nɔ̃/,m,,,,information,le,nom,,
prénom,first name,fr,identity_personal_life,personal_information,noun,beginner,KS3,Mon prénom est Marie.,My first name is Marie.,/pre.nɔ̃/,m,,,nom de famille,information,le,prénom,,
nom de famille,surname,fr,identity_personal_life,personal_information,noun,beginner,KS3,Son nom de famille est Dubois.,His surname is Dubois.,/nɔ̃ de fa.mij/,m,,,prénom,information,le,nom de famille,,
adresse,address,fr,identity_personal_life,personal_information,noun,beginner,KS3,Quelle est votre adresse ?,What is your address?,/a.dʁɛs/,f,,,,information,l',adresse,,
téléphone,telephone,fr,identity_personal_life,personal_information,noun,beginner,KS3,Mon numéro de téléphone est le 01 23 45 67 89.,My telephone number is 01 23 45 67 89.,/te.le.fɔn/,m,,,courrier,information,le,téléphone,,
numéro,number,fr,identity_personal_life,personal_information,noun,beginner,KS3,Quel est ton numéro ?,What is your number?,/ny.me.ʁo/,m,,,,information,le,numéro,,
email,email,fr,identity_personal_life,personal_information,noun,beginner,KS3,Envoyez-moi un email.,Send me an email.,/i.mɛl/,m,,courriel,téléphone,information,l',email,,
nationalité,nationality,fr,identity_personal_life,personal_information,noun,beginner,KS3,Quelle est votre nationalité ?,What is your nationality?,/na.sjo.na.li.te/,f,,,,information,la,nationalité,,
français,French,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Je suis français.,I am French.,/fʁɑ̃.sɛ/,m,,française,,nationality,le,français,,
française,French,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Elle est française.,She is French.,/fʁɑ̃.sɛz/,f,,,étranger,nationality,la,française,,
anglais,English,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Il est anglais.,He is English.,/ɑ̃.glɛ/,m,,anglaise,français,nationality,l',anglais,,
anglaise,English,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Elle est anglaise.,She is English.,/ɑ̃.glɛz/,f,,,française,nationality,l',anglaise,,
américain,American,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Il est américain.,He is American.,/a.me.ʁi.kɛ̃/,m,,américaine,européen,nationality,l',américain,,
américaine,American,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Elle est américaine.,She is American.,/a.me.ʁi.kɛn/,f,,,européenne,nationality,l',américaine,,
allemand,German,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Mon ami est allemand.,My friend is German.,/al.mɑ̃/,m,,allemande,français,nationality,l',allemand,,
allemande,German,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Ma prof est allemande.,My teacher is German.,/al.mɑ̃d/,f,,,française,nationality,l',allemande,,
espagnol,Spanish,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Il parle espagnol.,He speaks Spanish.,/ɛs.pa.ɲɔl/,m,,espagnole,français,nationality,l',espagnol,,
espagnole,Spanish,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Elle est espagnole.,She is Spanish.,/ɛs.pa.ɲɔl/,f,,,française,nationality,l',espagnole,,
italien,Italian,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Le chef est italien.,The chef is Italian.,/i.ta.ljɛ̃/,m,,italienne,français,nationality,l',italien,,
italienne,Italian,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Cette chanteuse est italienne.,This singer is Italian.,/i.ta.ljɛn/,f,,,française,nationality,l',italienne,,
chinois,Chinese,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Mon voisin est chinois.,My neighbor is Chinese.,/ʃi.nwa/,m,,chinoise,français,nationality,le,chinois,,
chinoise,Chinese,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Cette étudiante est chinoise.,This student is Chinese.,/ʃi.nwaz/,f,,,française,nationality,la,chinoise,,
japonais,Japanese,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Il étudie le japonais.,He studies Japanese.,/ʒa.pɔ.nɛ/,m,,japonaise,français,nationality,le,japonais,,
japonaise,Japanese,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Ma collègue est japonaise.,My colleague is Japanese.,/ʒa.pɔ.nɛz/,f,,,française,nationality,la,japonaise,,
canadien,Canadian,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Il est canadien.,He is Canadian.,/ka.na.djɛ̃/,m,,canadienne,américain,nationality,le,canadien,,
canadienne,Canadian,fr,identity_personal_life,personal_information,adjective,beginner,KS3,Elle est canadienne.,She is Canadian.,/ka.na.djɛn/,f,,,américaine,nationality,la,canadienne,,
pain,bread,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le pain est frais.,The bread is fresh.,/pɛ̃/,m,,,,food,le,pain,,
baguette,baguette,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,J'achète une baguette.,I buy a baguette.,/ba.ɡɛt/,f,,,pain,food,la,baguette,,
croissant,croissant,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Je mange un croissant au petit-déjeuner.,I eat a croissant for breakfast.,/kʁwa.sɑ̃/,m,,,pain,food,le,croissant,,
fromage,cheese,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le fromage français est délicieux.,French cheese is delicious.,/fʁo.maʒ/,m,,,beurre,food,le,fromage,,
beurre,butter,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Je mets du beurre sur le pain.,I put butter on the bread.,/bœʁ/,m,,,fromage,food,le,beurre,,
lait,milk,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Je bois du lait au petit-déjeuner.,I drink milk for breakfast.,/lɛ/,m,,,eau,drink,le,lait,,
eau,water,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,L'eau est essentielle.,Water is essential.,/o/,f,,,lait,drink,l',eau,,
café,coffee,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Je prends un café.,I have a coffee.,/ka.fe/,m,,,thé,drink,le,café,,
thé,tea,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le thé est chaud.,The tea is hot.,/te/,m,,,café,drink,le,thé,,
jus,juice,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Ce jus d'orange est bon.,This orange juice is good.,/ʒy/,m,,,eau,drink,le,jus,,
vin,wine,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le vin rouge accompagne le fromage.,Red wine goes with cheese.,/vɛ̃/,m,,,bière,drink,le,vin,,
bière,beer,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Une bière fraîche s'il vous plaît.,A cold beer please.,/bjɛʁ/,f,,,vin,drink,la,bière,,
coca,cola,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Je voudrais un coca.,I would like a cola.,/ko.ka/,m,,,eau,drink,le,coca,,
chocolat chaud,hot chocolate,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le chocolat chaud réchauffe.,Hot chocolate warms you up.,/ʃo.ko.la ʃo/,m,,,café,drink,le,chocolat chaud,,
viande,meat,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Je ne mange pas de viande.,I don't eat meat.,/vjɑ̃d/,f,,,légumes,food,la,viande,,
poisson,fish,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le poisson est bon pour la santé.,Fish is good for health.,/pwa.sɔ̃/,m,,,viande,food,le,poisson,,
poulet,chicken,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le poulet rôti sent bon.,The roast chicken smells good.,/pu.lɛ/,m,,,bœuf,food,le,poulet,,
bœuf,beef,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le bœuf bourguignon est délicieux.,Beef bourguignon is delicious.,/bœf/,m,,,poulet,food,le,bœuf,,
porc,pork,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Je ne mange pas de porc.,I don't eat pork.,/pɔʁ/,m,,,agneau,food,le,porc,,
agneau,lamb,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,L'agneau est tendre.,The lamb is tender.,/a.ɲo/,m,,,porc,food,l',agneau,,
œuf,egg,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Je mange un œuf au plat.,I eat a fried egg.,/œf/,m,œufs,,lait,food,l',œuf,,
œufs,eggs,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Les œufs sont dans le frigo.,The eggs are in the fridge.,/ø/,m pl,,,,food,les,œufs,,
légume,vegetable,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Les légumes sont sains.,Vegetables are healthy.,/le.ɡym/,m,,,fruit,food,le,légume,,
légumes,vegetables,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Je mange beaucoup de légumes.,I eat lots of vegetables.,/le.ɡym/,m pl,,,fruits,food,les,légumes,,
fruit,fruit,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Ce fruit est mûr.,This fruit is ripe.,/fʁɥi/,m,,,légume,food,le,fruit,,
fruits,fruits,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Les fruits sont sucrés.,Fruits are sweet.,/fʁɥi/,m pl,,,légumes,food,les,fruits,,
pomme,apple,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,La pomme est rouge.,The apple is red.,/pɔm/,f,,,orange,food,la,pomme,,
orange,orange,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,L'orange est pleine de vitamine C.,The orange is full of vitamin C.,/o.ʁɑ̃ʒ/,f,,,pomme,food,l',orange,,
banane,banana,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,La banane est jaune.,The banana is yellow.,/ba.nan/,f,,,pomme,food,la,banane,,
poire,pear,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Cette poire est juteuse.,This pear is juicy.,/pwaʁ/,f,,,pomme,food,la,poire,,
fraise,strawberry,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Les fraises sont sucrées.,Strawberries are sweet.,/fʁɛz/,f,,,cerise,food,la,fraise,,
cerise,cherry,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Les cerises sont rouges.,Cherries are red.,/sə.ʁiz/,f,,,fraise,food,la,cerise,,
raisin,grape,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le raisin devient du vin.,Grapes become wine.,/ʁɛ.zɛ̃/,m,,,pomme,food,le,raisin,,
pêche,peach,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Cette pêche est délicieuse.,This peach is delicious.,/pɛʃ/,f,,,abricot,food,la,pêche,,
abricot,apricot,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,L'abricot est un fruit d'été.,The apricot is a summer fruit.,/a.bʁi.ko/,m,,,pêche,food,l',abricot,,
citron,lemon,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le citron est acide.,The lemon is sour.,/si.tʁɔ̃/,m,,,orange,food,le,citron,,
carotte,carrot,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Les carottes sont oranges.,Carrots are orange.,/ka.ʁɔt/,f,,,pomme de terre,food,la,carotte,,
pomme de terre,potato,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Les pommes de terre sont cuites.,The potatoes are cooked.,/pɔm də tɛʁ/,f,,,carotte,food,la,pomme de terre,,
tomate,tomato,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,La tomate est rouge.,The tomato is red.,/to.mat/,f,,,concombre,food,la,tomate,,
concombre,cucumber,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le concombre est rafraîchissant.,The cucumber is refreshing.,/kɔ̃.kɔ̃bʁ/,m,,,tomate,food,le,concombre,,
salade,lettuce/salad,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Je mange une salade verte.,I eat a green salad.,/sa.lad/,f,,,soupe,food,la,salade,,
oignon,onion,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,L'oignon fait pleurer.,Onions make you cry.,/ɔ.ɲɔ̃/,m,,,ail,food,l',oignon,,
ail,garlic,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,L'ail parfume les plats.,Garlic flavors dishes.,/aj/,m,,,oignon,food,l',ail,,
champignon,mushroom,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Ce champignon est délicieux.,This mushroom is delicious.,/ʃɑ̃.pi.ɲɔ̃/,m,,,légume,food,le,champignon,,
petit-déjeuner,breakfast,fr,food_drink,meals,noun,beginner,KS3,Le petit-déjeuner est important.,Breakfast is important.,/pə.ti de.ʒø.ne/,m,,,dîner,food,le,petit-déjeuner,,
déjeuner,lunch,fr,food_drink,meals,noun,beginner,KS3,Nous déjeunons à midi.,We have lunch at noon.,/de.ʒø.ne/,m,,,petit-déjeuner,food,le,déjeuner,,
goûter,snack,fr,food_drink,meals,noun,beginner,KS3,Les enfants prennent le goûter.,The children have a snack.,/gu.te/,m,,,repas,food,le,goûter,,
dîner,dinner,fr,food_drink,meals,noun,beginner,KS3,Le dîner est servi à 19 heures.,Dinner is served at 7 PM.,/di.ne/,m,,,petit-déjeuner,food,le,dîner,,
repas,meal,fr,food_drink,meals,noun,beginner,KS3,C'est un repas délicieux.,It's a delicious meal.,/ʁə.pa/,m,,,goûter,food,le,repas,,
soupe,soup,fr,food_drink,meals,noun,beginner,KS3,La soupe est chaude.,The soup is hot.,/sup/,f,,,salade,food,la,soupe,,
entrée,starter/appetizer,fr,food_drink,meals,noun,beginner,KS3,L'entrée est servie en premier.,The starter is served first.,/ɑ̃.tʁe/,f,,,dessert,food,l',entrée,,
plat principal,main course,fr,food_drink,meals,noun,beginner,KS3,Le plat principal est copieux.,The main course is hearty.,/pla pʁɛ̃.si.pal/,m,,,entrée,food,le,plat principal,,
dessert,dessert,fr,food_drink,meals,noun,beginner,KS3,Le dessert termine le repas.,Dessert ends the meal.,/dɛ.sɛʁ/,m,,,entrée,food,le,dessert,,
gâteau,cake,fr,food_drink,meals,noun,beginner,KS3,Le gâteau d'anniversaire est beau.,The birthday cake is beautiful.,/ɡa.to/,m,,,tarte,food,le,gâteau,,
tarte,tart/pie,fr,food_drink,meals,noun,beginner,KS3,La tarte aux pommes est délicieuse.,The apple tart is delicious.,/taʁt/,f,,,gâteau,food,la,tarte,,
chocolat,chocolate,fr,food_drink,meals,noun,beginner,KS3,J'adore le chocolat noir.,I love dark chocolate.,/ʃo.ko.la/,m,,,vanille,food,le,chocolat,,
glace,ice cream,fr,food_drink,meals,noun,beginner,KS3,La glace à la vanille est rafraîchissante.,Vanilla ice cream is refreshing.,/ɡlas/,f,,,gâteau,food,la,glace,,
bonbon,candy,fr,food_drink,meals,noun,beginner,KS3,Les enfants aiment les bonbons.,Children like candy.,/bɔ̃.bɔ̃/,m,,,chocolat,food,le,bonbon,,
sucre,sugar,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Il y a trop de sucre dans ce café.,There's too much sugar in this coffee.,/sykʁ/,m,,,sel,food,le,sucre,,
sel,salt,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le sel relève le goût.,Salt enhances the taste.,/sɛl/,m,,,sucre,food,le,sel,,
poivre,pepper,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le poivre est épicé.,Pepper is spicy.,/pwavʁ/,m,,,sel,food,le,poivre,,
huile,oil,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,L'huile d'olive est saine.,Olive oil is healthy.,/ɥil/,f,,,vinaigre,food,l',huile,,
vinaigre,vinegar,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Le vinaigre assaisonne la salade.,Vinegar seasons the salad.,/vi.nɛɡʁ/,m,,,huile,food,le,vinaigre,,
moutarde,mustard,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,La moutarde de Dijon est forte.,Dijon mustard is strong.,/mu.taʁd/,f,,,mayonnaise,food,la,moutarde,,
mayonnaise,mayonnaise,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,La mayonnaise accompagne les frites.,Mayonnaise goes with fries.,/ma.jɔ.nɛz/,f,,,moutarde,food,la,mayonnaise,,
ketchup,ketchup,fr,food_drink,food_drink_vocabulary,noun,beginner,KS3,Les enfants mettent du ketchup partout.,Children put ketchup on everything.,/kɛt.ʃœp/,m,,,mayonnaise,food,le,ketchup,,
restaurant,restaurant,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Ce restaurant est excellent.,This restaurant is excellent.,/ʁɛs.to.ʁɑ̃/,m,,,café,food,le,restaurant,,
café,café,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Le café de la place est sympa.,The café on the square is nice.,/ka.fe/,m,,,restaurant,food,le,café,,
bar,bar,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Nous allons au bar après le travail.,We go to the bar after work.,/baʁ/,m,,,restaurant,food,le,bar,,
brasserie,brasserie,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Cette brasserie sert de la bonne bière.,This brasserie serves good beer.,/bʁa.sə.ʁi/,f,,,restaurant,food,la,brasserie,,
menu,menu,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Le menu du jour est affiché.,The daily menu is displayed.,/mə.ny/,m,,,carte,food,le,menu,,
carte,menu,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Pouvez-vous me donner la carte ?,Can you give me the menu?,/kaʁt/,f,,,menu,food,la,carte,,
addition,bill,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,L'addition s'il vous plaît.,The bill please.,/a.di.sjɔ̃/,f,,,pourboire,food,l',addition,,
pourboire,tip,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Nous laissons un pourboire.,We leave a tip.,/puʁ.bwaʁ/,m,,,addition,food,le,pourboire,,
serveur,waiter,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,Le serveur est très aimable.,The waiter is very friendly.,/sɛʁ.vœʁ/,m,,serveuse,client,food,le,serveur,,
serveuse,waitress,fr,food_drink,ordering_cafes_restaurants,noun,beginner,KS3,La serveuse prend notre commande.,The waitress takes our order.,/sɛʁ.vøz/,f,,,client,food,la,serveuse,,
école,school,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Je vais à l'école.,I go to school.,/e.kɔl/,f,,,université,education,l',école,,
collège,middle school,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Mon frère est au collège.,My brother is in middle school.,/ko.lɛʒ/,m,,,lycée,education,le,collège,,
lycée,high school,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Elle termine le lycée cette année.,She finishes high school this year.,/li.se/,m,,,collège,education,le,lycée,,
université,university,fr,school_jobs_future,school_subjects,noun,beginner,KS3,J'étudie à l'université.,I study at university.,/y.ni.vɛʁ.si.te/,f,,,école,education,l',université,,
classe,class,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Ma classe est sympa.,My class is nice.,/klas/,f,,,cours,education,la,classe,,
cours,lesson/course,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Le cours de français commence.,The French lesson begins.,/kuʁ/,m,,,classe,education,le,cours,,
leçon,lesson,fr,school_jobs_future,school_subjects,noun,beginner,KS3,La leçon est difficile.,The lesson is difficult.,/lə.sɔ̃/,f,,,cours,education,la,leçon,,
matière,subject,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Quelle est ta matière préférée ?,What is your favorite subject?,/ma.tjɛʁ/,f,,,cours,education,la,matière,,
français,French,fr,school_jobs_future,school_subjects,noun,beginner,KS3,J'aime le français.,I like French.,/fʁɑ̃.sɛ/,m,,,anglais,subject,le,français,,
anglais,English,fr,school_jobs_future,school_subjects,noun,beginner,KS3,L'anglais est utile.,English is useful.,/ɑ̃.glɛ/,m,,,français,subject,l',anglais,,
espagnol,Spanish,fr,school_jobs_future,school_subjects,noun,beginner,KS3,J'apprends l'espagnol.,I'm learning Spanish.,/ɛs.pa.ɲɔl/,m,,,allemand,subject,l',espagnol,,
allemand,German,fr,school_jobs_future,school_subjects,noun,beginner,KS3,L'allemand est compliqué.,German is complicated.,/al.mɑ̃/,m,,,espagnol,subject,l',allemand,,
mathématiques,mathematics,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Les mathématiques sont logiques.,Mathematics is logical.,/ma.te.ma.tik/,f pl,,maths,lettres,subject,les,mathématiques,,
maths,maths,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Je suis bon en maths.,I'm good at maths.,/mat/,f pl,,,lettres,subject,les,maths,,
sciences,science,fr,school_jobs_future,school_subjects,noun,beginner,KS3,Les sciences m'intéressent.,Science interests me.,/sjɑ̃s/,f pl,,,lettres,subject,les,sciences,,
physique,physics,fr,school_jobs_future,school_subjects,noun,beginner,KS3,La physique explique le monde.,Physics explains the world.,/fi.zik/,f,,,chimie,subject,la,physique,,
chimie,chemistry,fr,school_jobs_future,school_subjects,noun,beginner,KS3,La chimie étudie la matière.,Chemistry studies matter.,/ʃi.mi/,f,,,physique,subject,la,chimie,,
biologie,biology,fr,school_jobs_future,school_subjects,noun,beginner,KS3,La biologie étudie la vie.,Biology studies life.,/bjo.lo.ʒi/,f,,,chimie,subject,la,biologie,,
histoire,history,fr,school_jobs_future,school_subjects,noun,beginner,KS3,L'histoire nous enseigne le passé.,History teaches us the past.,/is.twaʁ/,f,,,géographie,subject,l',histoire,,
géographie,geography,fr,school_jobs_future,school_subjects,noun,beginner,KS3,La géographie étudie la Terre.,Geography studies the Earth.,/ʒe.o.ɡʁa.fi/,f,,,histoire,subject,la,géographie,,
éducation physique,physical education,fr,school_jobs_future,school_subjects,noun,beginner,KS3,L'éducation physique maintient en forme.,Physical education keeps you fit.,/e.dy.ka.sjɔ̃ fi.zik/,f,,EPS,art,subject,l',éducation physique,,
EPS,PE,fr,school_jobs_future,school_subjects,noun,beginner,KS3,J'ai EPS cet après-midi.,I have PE this afternoon.,/ø pe ɛs/,f,,,art,subject,l',EPS,,
art,art,fr,school_jobs_future,school_subjects,noun,beginner,KS3,L'art développe la créativité.,Art develops creativity.,/aʁ/,m,,,EPS,subject,l',art,,
musique,music,fr,school_jobs_future,school_subjects,noun,beginner,KS3,La musique est relaxante.,Music is relaxing.,/my.zik/,f,,,art,subject,la,musique,,
informatique,computer science,fr,school_jobs_future,school_subjects,noun,beginner,KS3,L'informatique est moderne.,Computer science is modern.,/ɛ̃.fɔʁ.ma.tik/,f,,,technologie,subject,l',informatique,,
technologie,technology,fr,school_jobs_future,school_subjects,noun,beginner,KS3,La technologie évolue vite.,Technology evolves quickly.,/tɛk.no.lo.ʒi/,f,,,informatique,subject,la,technologie,,
